,keyword,values
24,요리,2089
3,집밥,1059
6,홈쿡,762
9,요리스타그램,713
35,먹스타그램,700
296,일상,666
70,맛스타그램,543
91,소통,439
11,온더테이블,428
76,좋아요,408
262,food,399
307,맛집,396
92,먹방,383
261,음식,374
77,맞팔,354
367,쿡스타그램,334
109,선팔,294
22,플레이팅,289
133,집밥스타그램,286
112,데일리,269
658,푸드스타그램,267
159,cooking,238
476,팔로우,227
40,오늘뭐먹지,221
254,foodstagram,216
316,선팔하면맞팔,210
17,foodie,201
256,음식스타그램,187
74,홈메이드,183
474,야식,179
47,koreanfood,175
421,daily,174
78,좋반,174
25,반찬,169
473,카페,165
260,jmt,164
29,한식,159
43,냠냠,150
742,instafood,148
93,좋아요반사,144
166,cook,144
83,먹스타,137
13,onthetable,135
483,푸드,135
383,일상스타그램,134
183,주부,133
103,육아,131
20,홈스타그램,125
118,다이어트,123
301,인친,119
468,맛집추천,118
583,여행,118
179,요리하는여자,116
738,맛있다,115
171,주부스타그램,114
44,점심,110
266,아침,109
51,도시락,108
460,술스타그램,108
467,감성,107
38,yummy,106
698,homecooking,105
167,레시피,103
46,신혼밥상,101
31,가정식,101
19,그릇,101
221,고기,99
470,카페투어,98
108,육아소통,96
1014,운동,93
472,강남맛집,92
60,홈브런치,90
560,신혼,90
21,koreafood,90
471,핫플,87
23,밑반찬,86
465,선팔시맞팔,86
469,이태원맛집,85
258,foodporn,84
466,서울핫플,84
740,자취요리,84
475,홍대맛집,82
255,존맛,82
1052,homecook,82
450,취미,81
56,토스트,81
480,브런치,80
743,homemade,80
757,주말,76
8,새댁요리,76
114,육아맘,76
1227,인테리어,75
161,다이어트식단,75
39,꿀맛,75
252,존맛탱,74
277,홈카페,72
132,첫줄,72
374,소고기,70
457,맛스타,70
81,먹부림,69
549,밥상,68
62,빵스타그램,68
1088,밥,68
5,메뉴,67
826,이벤트,67
111,육아스타그램,67
824,냄비,67
33,비빔밥,65
662,새댁,65
877,맛있다그램,63
64,빵모닝,63
719,fff,63
832,주방용품,63
1223,집들이,62
34,제육볶음,62
61,toast,62
2,foodstyling,62
828,인덕션,61
88,f4f,61
373,반찬만들기,61
364,인스타푸드,60
358,도치맘,60
830,홈쇼핑,60
147,샌드위치,59
910,냄비추천,59
459,아점,59
822,예쁜냄비,58
701,음식사진,58
142,식단,58
833,피카,58
0,cozyhome,57
827,리그램,57
831,네오플램,57
97,아기,56
12,주방인테리어,56
37,제육비빔밥,56
15,잔치국수,56
825,네오플램피카,56
823,소문내기,56
1,연두순,56
26,쿠킹클래스,56
10,위드테이블,55
16,연두해요,55
58,프렌치토스트,55
149,diet,55
14,warm,54
28,정이네밑반찬,54
18,interior,54
7,샘표로부터소정의적립금을받았습니다,54
4,연두의집밥,54
207,간식,54
49,양은도시락,54
664,아침밥,54
50,피크닉도시락,54
41,제육덮밥,53
63,frenchtoast,53
45,느타리버섯,53
492,디저트,53
52,악질여사공구예고,53
42,수요팅,53
1278,청라보험,52
381,식사,52
66,김포맛집,52
1282,불금,52
1272,딸바보,52
36,비빔밥맛집,52
1273,미스터트롯,51
1275,청라국제도시,51
198,오오티디,51
785,쿠킹,51
1277,프라임에셋인천,51
649,셀피,51
653,인스타그램,51
1228,사진,51
1279,215본부,51
1281,아동,51
1274,프라임에셋청라,51
452,집밥레시피,51
67,막걸리,51
59,써영_테이블,51
53,히비스커스,51
295,베이킹,50
48,비트커스,50
770,홈쿡스타그램,49
55,이너뷰티,49
571,요리하는남자,49
27,정이하우스,49
1276,칼맞팔,49
54,악질여사공구,49
394,홈베이킹,48
30,순두부찌개,48
1156,likeforlikes,47
375,추억의도시락,47
57,homebrunch,47
69,모듬전,47
200,먹팔,46
134,다이어터,46
655,셀카,45
774,저녁,45
429,料理,45
769,혼밥,45
65,구래동맛집,44
68,구래동대반전,44
32,신혼집,44
456,밥스타그램,44
829,repost,44
650,ootd,43
1159,chef,43
89,follow,43
491,요리레시피,43
268,목요일,41
1155,쿡,41
520,자취,41
641,파스타,40
666,아침밥상,40
173,집밥메뉴,39
265,커피,39
1100,cookstagram,38
702,요리그램,38
731,먹스타맞팔,37
700,breakfast,37
195,살림,36
734,like,35
1280,보험,35
3496,로또,35
705,집밥그램,35
715,instagood,34
1376,아침식사,34
363,맘스타그램,34
1050,homemadefood,34
699,카페스타그램,33
315,korea,33
804,식단일기,33
79,delicious,33
775,저녁메뉴,33
354,주부일상,33
706,간단요리,33
880,일식,33
709,맛,32
656,instagram,32
736,美食,31
87,선팔맞팔,31
671,오늘,31
